Word,Documents
petrobrás,"[(1, 4), (48, 1), (61, 3)]"
quer,"[(1, 1), (18, 2), (37, 3), (45, 2), (59, 1)]"
alterar,"[(1, 1), (63, 1)]"
estatuto,"[(1, 3)]"
transferir,"[(1, 1), (15, 1), (20, 1), (32, 1), (62, 2), (66, 1)]"
decisão,"[(1, 2), (5, 4), (6, 1), (8, 1), (12, 1), (15, 1), (20, 1), (26, 1), (35, 1), (44, 1), (45, 1), (51, 1), (55, 2), (56, 1), (57, 4), (62, 3), (65, 3)]"
sobre,"[(1, 2), (3, 3), (5, 1), (6, 1), (8, 4), (12, 3), (13, 1), (14, 1), (15, 1), (16, 1), (18, 3), (19, 2), (21, 1), (25, 3), (26, 1), (28, 3), (29, 1), (30, 2), (32, 4), (34, 7), (35, 3), (38, 8), (49, 1), (51, 2), (53, 1), (55, 4), (56, 1), (59, 5), (60, 2), (62, 1), (63, 3), (65, 3), (68, 1), (70, 3), (75, 1)]"
venda,"[(1, 3), (7, 1), (8, 2)]"
subsidiárias,"[(1, 3)]"
estatal,"[(1, 1), (18, 1)]"
assembleia,"[(1, 5), (17, 4), (34, 1), (38, 1), (73, 1)]"
acionistas,"[(1, 3)]"
conselho,"[(1, 2), (32, 1), (43, 1)]"
administração,"[(1, 2), (8, 1), (24, 1)]"
empresa,"[(1, 1), (5, 2), (8, 1), (11, 2), (13, 5), (23, 1), (53, 1)]"
medida,"[(1, 1), (3, 1), (5, 3), (12, 1), (32, 1), (38, 1), (39, 1), (62, 1), (70, 1), (74, 1)]"
votada,"[(1, 1)]"
próximo,"[(1, 1), (21, 2), (32, 1), (36, 1), (66, 1)]"
dia,"[(1, 3), (2, 1), (4, 1), (9, 1), (21, 1), (30, 1), (32, 1), (34, 2), (36, 1), (37, 4), (45, 1), (50, 2), (57, 1), (59, 1), (65, 1), (70, 1), (73, 1)]"
permite,"[(1, 1), (32, 1)]"
prática,"[(1, 1), (21, 2), (34, 1), (36, 1)]"
redução,"[(1, 1), (3, 1), (4, 3), (30, 2), (32, 2), (66, 1)]"
tempo,"[(1, 1), (8, 1), (15, 3), (27, 1), (35, 1), (37, 4), (38, 1), (64, 1), (67, 1), (70, 1)]"
necessário,"[(1, 1), (12, 1), (27, 1), (31, 1), (63, 1)]"
tomada,"[(1, 1), (51, 1), (56, 1)]"
relação,"[(1, 1), (4, 3), (6, 1), (8, 2), (9, 1), (14, 2), (15, 2), (38, 1), (62, 1), (74, 1), (75, 2)]"
chamado,"[(1, 1), (25, 1), (34, 1), (49, 1), (58, 1)]"
plano,"[(1, 2), (18, 2), (59, 1)]"
desinvestimentos,"[(1, 3)]"
petroleira,"[(1, 1)]"
entrega,"[(1, 1)]"
patrim,"[(1, 1)]"
nio,"[(1, 1), (34, 1)]"
inciativa,"[(1, 1), (40, 1)]"
privada,"[(1, 1), (48, 1)]"
espera,"[(1, 1), (23, 1)]"
obter,"[(1, 1)]"
cerca,"[(1, 1), (26, 1), (29, 1), (34, 1), (66, 1)]"
bilhões,"[(1, 1), (7, 1), (8, 2), (9, 7), (15, 1), (29, 1), (32, 3), (33, 2), (48, 1), (61, 1), (68, 1)]"
meio,"[(1, 1), (5, 1), (8, 2), (11, 2), (13, 1), (20, 1), (25, 1), (30, 1), (33, 1), (35, 2), (59, 1), (63, 1), (66, 2)]"
agiliza,"[(1, 1)]"
desburocratiza,"[(1, 1)]"
reduz,"[(1, 1)]"
custo,"[(1, 1)]"
convocar,"[(1, 1)]"
deliberar,"[(1, 1), (65, 1)]"
assunto,"[(1, 2), (28, 1), (53, 1), (62, 3), (70, 1)]"
custa,"[(1, 1), (52, 1)]"
caro,"[(1, 1)]"
brasil,"[(1, 1), (3, 1), (4, 2), (7, 7), (8, 1), (11, 2), (12, 1), (13, 1), (15, 5), (21, 7), (28, 1), (30, 2), (32, 1), (33, 7), (34, 5), (35, 1), (36, 2), (37, 1), (38, 5), (44, 1), (51, 3), (55, 1), (56, 1), (58, 1), (59, 11), (61, 1), (62, 2), (63, 5), (64, 1), (66, 7), (67, 2), (70, 2), (71, 2), (73, 1)]"
exigência,"[(1, 1)]"
lei,"[(1, 1), (5, 1), (17, 1), (24, 3), (29, 1), (32, 2), (34, 1), (53, 1), (60, 2), (61, 2), (65, 1)]"
submeter,"[(1, 1)]"
integrais,"[(1, 1)]"
várias,"[(1, 1), (5, 1), (23, 1), (29, 1), (34, 1), (37, 1), (51, 1), (59, 1)]"
empresas,"[(1, 3), (3, 4), (8, 1), (13, 1), (29, 2), (32, 1)]"
fazem,"[(1, 1), (32, 1), (33, 1), (59, 2), (74, 1)]"
grandes,"[(1, 1), (32, 1), (36, 1), (38, 1), (62, 1)]"
vale,"[(1, 1), (8, 1), (62, 2)]"
embraer,"[(1, 1)]"
ambev,"[(1, 1)]"
adotam,"[(1, 1)]"
disse,"[(1, 1), (2, 1), (3, 3), (4, 3), (12, 6), (15, 6), (16, 1), (18, 1), (21, 5), (22, 1), (23, 5), (24, 2), (25, 1), (26, 3), (27, 4), (28, 1), (49, 2), (54, 1), (55, 4), (56, 1), (59, 2), (62, 3), (63, 2), (64, 1), (66, 1), (67, 1), (68, 1), (70, 1), (71, 1), (74, 3)]"
